Fleet Number,Registration,Details,Product,Distance,Unit,Litres,MPG
0012,FL65FBA,Vauxhall CORSA  CDTI Car,Diesel,5107,Miles,465.53,49.87
0013,MJ16XMY,Vauxhall Mokka 4x4 Utility Vehicle,Diesel,5585,Miles,723.6,35.09
0016,BP16MKK,Nissan Note Car,Diesel,1511,Miles,118.67,57.88
0017,YD16NAL,Peugeot car Car,Diesel,2578,Miles,211.85,55.32
0018,YD16NAK,Peugeot 308 Car Car,Diesel,8032,Miles,751.46,48.59
0019,BP16OPD,Nissan Note Car,Diesel,0,Miles,0,0
0020,YH17VCF,Peugeot Expert Combi 9 seat MPV,Diesel,11590,Miles,1445.74,36.44
0023,YE19FLS,Volkswagon Caddy Maxi Welfare,Diesel,21758,Miles,2425.71,40.78
0024,YG69UKP,  Caddy Maxi Life Wav,Diesel,27529,Miles,2681.68,46.67
0025,YG69UKR,  Caddy Maxi Life Van,Diesel,8958,Miles,988.33,41.2
0026,YH69ZYT,Volkswagen  Caddy Maxi Life Van,Diesel,16795,Miles,1903.47,40.11
0027,YL69KJN,  VW Caddy,Diesel,21185,Miles,2126.35,45.29
0028,YL69KJV,  VW Caddy,Diesel,9771,Miles,1201.09,36.98
0029,YL69KJO,  VW Caddy,Diesel,7684,Miles,1067.24,32.73
0030,YL69KJU,  VW Caddy,Diesel,6993,Miles,976.06,32.57
0031,YG20GRF,Volkswagen Caddy 7 seater,Diesel,13577,Miles,1629.45,37.88
0032,YG20AHU,Volkswagen Caddy 7 seater,Diesel,5369,Miles,767.88,31.79
0033,YG20GRU,Volkswagen Caddy 7 seater,Diesel,10975,Miles,1369.02,36.44
0034,YG20GRK,Volkswagen Caddy 7 seater,Diesel,7708,Miles,973.4,36
0035,YG20YGZ,Volkswagen Maxi Life Caddy,Diesel,17267,Miles,2266.66,34.63
0036,YG20WFN,Volkswagen Maxi Life Caddy,Diesel,12631,Miles,1595.29,35.99
0037,YH20JYF,Volkswagen Maxi Life Caddy,Diesel,6599,Miles,824.62,36.38
0038,YG20WFT,Volkswagen Maxi Life Caddy,Diesel,9477,Miles,1425.06,30.23
0039,YG20WFR,Volkswagen Maxi Life Caddy,Diesel,19347,Miles,2179.62,40.35
0040,YG20YHC,Volkswagen Maxi Life Caddy,Diesel,4065,Miles,698.82,26.44
0041,YH20JYE,Volkswagen Caddy 7 seater,Diesel,14539,Miles,1876.65,35.22
0042,YG20WFM,Volkswagen Maxi Life Caddy,Diesel,16952,Miles,1949.16,39.54
0043,YH20OBP,Volkswagen Maxi Life Caddy,Diesel,13921,Miles,1706.07,37.09
0044,YC20LKE,Volkwagon Caddy Life MPV,Diesel,20968,Miles,2192.07,43.49
0045,YH20OEN,Volkswagen Maxi Life Caddy,Diesel,18715,Miles,2663.48,31.94
0046,YC20BPZ,Volkswagon Caddy MPV Van Small,Diesel,15260,Miles,1937.97,35.8
0047,YH20MVY,Volkswagen Caddy ,Diesel,8445,Miles,1115.04,34.43
0048,YC20LKL,Volkwagon Caddy Life MPV,Diesel,8323,Miles,1178.85,32.1
0049,YC20LKG,Volkswagon Caddy life MPV,Diesel,8524,Miles,920.35,42.1
0050,YH20UTZ,Volkswagon Caddy WAV Van Small,Diesel,14782,Miles,1827.83,36.77
0051,YC20LKJ,Volkswagon Caddy life MPV,Diesel,5977,Miles,784.1,34.65
0052,YC20LKK,Volkswagon Caddy Life MPV,Diesel,16371,Miles,1895.96,39.25
0053,YC20LKF,Volkswagon Caddy Life MPV,Diesel,12504,Miles,1554.53,36.57
0058,YH69KWL,Volkswagen  Caddy Maxi Life Van,Diesel,4863,Miles,584.49,37.82
0071,YJ20CZT,  Custom WAV,Diesel,2539,Miles,255.21,45.23
0086,YP59ZSK,Ford Mondeo car Car,Diesel,16678,Miles,1810.55,41.88
0090P,YF59YFE, Focus Ford,Diesel,0,Miles,0,0
0099,YG63ETR,Peugeot  7 Seater,Diesel,10826,Miles,1360.18,36.18
0106,YF13TLN,Ford Fiesta 1.4 TDi Van Car Derived Van,Diesel,1759,Miles,155.6,51.39
0107,YB13YCG,Ford Fiesta 1.4 TDi Van Car Derived Van,Diesel,5334,Miles,528.67,45.87
0108,FP15SRO,Vauxhall Corsa Small Van,Diesel,13909,Miles,988.7,63.95
0109,FP15STZ,Vauxhall Corsa Small Van,Diesel,3447,Miles,331.22,47.31
0110,FP15PUO,Vauxhall Corsa Small Van,Diesel,741,Miles,97.7,34.48
0111,FP15SMV,Vauxhall  Corsa Small Van,Diesel,3880,Miles,351.35,50.2
0112,FP15SOA,Vauxhall  Corsa Small Van,Diesel,1959,Miles,264.11,33.72
0113,FP15RKK,Vauxhall Corsa Small Van,Diesel,12304,Miles,952.1,58.75
0115,FP15RPO,Vauxhall Corsa Small Van,Diesel,3629,Miles,318.02,51.88
0116,FP15PWF,Vauxhall Corsa Small Van,Diesel,15701,Miles,1194.45,59.76
0118,FP15SKE,Vauxhall Corsa Small Van,Diesel,0,Miles,0,0
0119,FP15SVA,Vauxhall Corsa Small Van,Diesel,3071,Miles,308.2,45.3
0120,FP15PVA,Vauxhall  Corsa Small Van,Diesel,7436,Miles,673.1,50.22
0121,FP15SJX,Vauxhall Corsa Small Van,Diesel,1261,Kilometres,101.82,35
0122,FP15RSX,Vauxhall Corsa Small Van,Diesel,5966,Miles,497.55,54.51
0123,FP15SJU,Vauxhall  Corsa Small Van,Diesel,1869,Miles,171.75,49.47
0125,FP15SBO,Vauxhall Corsa Small Van,Diesel,3901,Miles,358.72,49.44
0201,YJ16CVB,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,13264,Miles,2944.01,20.48
0202,YJ16CVA,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,5908,Miles,1720,15.62
0203,YJ16CVX,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,14711,Miles,3376.62,19.81
0204,YJ16CVR,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,12082,Miles,3207.35,17.13
0205,YJ16CVS,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,17259,Miles,3678.83,21.33
0206,YJ16CVT,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,16437,Miles,3843.45,19.44
0207,YJ16CRZ,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,10808,Miles,3632.24,13.53
0208,YJ16CRX,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,6173,Miles,1502.38,18.68
0209,YJ16 CRV,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,8087,Miles,1715.11,21.44
0210,YJ16CUO,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,19329,Miles,3986.58,22.04
0211,YJ16CUC,Volkswagen CR50 Welfare Treka Welfare Bus,Diesel,7607,Miles,1965.72,17.59
