#,# de flotte SPC // SSC Fleet #,Marque // Make,Modèle // Model,Année // Year,Couleur // Color,Couleur PCIM // FIP COLOUR,Coût // Cost,Taxes sur les pneus // Tire levy,Taxes,Prix total calculé // Total purchase price,Lecture actuelle du compteur // Current Odometer Reading,Numéro du modèle // Model number,Litres du moteur // Litres of engine,Ville // City,Province
1,100000,Chevrolet,Tahoe,2018,Argent glacé métallisé/Silver Ice Metallic,Noir/Black,"$42,578.00",$22.50,"$6,390.08","$48,990.58",35387,CK15706,5.3 / 355,Darthmouth,NS
2,100001,GMC,Acadia,2018,Mercure métallisé/Quicksilver Metallic,Noir/Black,"$30,584.00",$22.50,"$4,590.98","$35,197.48",18659,TNJ26,2.5 / 193,Darthmouth,NS
3,100003,Dodge,Grand Caravan,2018,Rouge/Red,Blanc/White,"$23,674.00",$18.00,"$3,553.80","$27,245.80",21150,RTKH53 29E,3.6 / 283,Darthmouth,NS
4,100002,Dodge,Grand Caravan,2018,Rouge/Red,Blanc/White,"$23,674.00",$18.00,"$3,553.80","$27,245.80",11537,RTKH53 29E,3.6 / 283,Halifax,NS
5,100004,Nissan,Rogue,2018,Noir/Black,Blanc/White,"$23,905.00",$22.50,"$3,589.13","$27,516.63",11071,Y6BG18,2.5 / 170,Greenwood,NS
6,100005,Nissan,Rogue,2018,Gris foncé/Dark Gray,Blanc/White,"$23,905.00",$22.50,"$3,589.13","$27,516.63",12305,Y6BG18,2.5 / 170,Oromocto,NB
7,100006,Nissan,Rogue,2018,Gris foncé/Dark Gray,Blanc/White,"$23,905.00",$22.50,"$3,589.13","$27,516.63",12624,Y6BG18,2.5 / 170,Oromocto,NB
8,100007,Nissan,Rogue,2018,Gris foncé/Dark Gray,Blanc/White,"$23,905.00",$15.00,"$3,588.00","$27,508.00",13243,Y6BG18,2.5 / 170,St. John's,NFL
9,100012,Dodge,Grand Caravan,2019,Argent/Silver,Noir/Black,"$24,955.00",$20.00,"$1,248.75","$26,223.75",59,RTKH53,3.6 / 283,Moncton,NB
10,200018,Dodge,Grand Caravan,2019,Argent/Silver,Noir/Black,"$24,955.00",$20.00,"$1,248.75","$26,223.75",1019,RTKH53,3.6 / 283,Montreal,QC
11,200019,Dodge,Grand Caravan,2019,Argent/Silver,Noir/Black,"$24,955.00",$20.00,"$1,248.75","$26,223.75",1173,RTKH53,3.6 / 283,Quebec,QC
12,200000,Nissan,Rogue,2018,Gris foncé/Dark Gray,Blanc/White,"$23,905.00",$15.00,"$1,196.00","$25,116.00",7846,Y6BG18,2.5 / 170,Richelain,QC
13,200001,Nissan,Rogue,2018,Gris foncé/Dark Gray,Blanc/White,"$23,905.00",$15.00,"$1,196.00","$25,116.00",15973,Y6BG18,2.5 / 170,Longue-Pointe,QC
14,200002,Nissan,Rogue,2018,Gris foncé/Dark Gray,Blanc/White,"$23,905.00",$15.00,"$1,196.00","$25,116.00",15688,Y6BG18,2.5 / 170,Courcelette,QC
15,200003,Nissan,Rogue,2018,Gris foncé/Dark Gray,Blanc/White,"$23,905.00",$15.00,"$1,196.00","$25,116.00",15201,Y6BG18,2.5 / 170,Courcelette,QC
16,200004,Nissan,Rogue,2018,Gris foncé/Dark Gray,Blanc/White,"$23,905.00",$15.00,"$1,196.00","$25,116.00",6001,Y6BG18,2.5 / 170,Alouette,QC
